ID,Response,RT,Type,characterlist
sub-18,0,3.267165409,power,Hayworth
sub-18,0,2.211982217,power,Anthony
sub-18,0,4.233504917,power,Anthony
sub-18,0,4.033934475,power,Hayworth
sub-18,0,4.855385665,power,Hayworth
sub-18,0,4.411279733,power,Anthony
sub-18,0,4.525767859,power,Anthony
sub-19,0,4.104938267,power,Olivia
sub-19,0,3.199581514,power,Peter
sub-19,0,2.502319518,power,Peter
sub-19,0,3.307977196,power,Peter
sub-19,0,4.955345928,power,Newcomb
sub-19,0,2.931577392,power,Olivia
sub-19,0,2.346843756,power,Hayworth
sub-19,0,11.988,power,Anthony
sub-2,0,5.477426084,power,Olivia
sub-2,0,1.384526089,power,Peter
sub-2,0,4.163995597,power,Peter
sub-2,0,3.622330948,power,Newcomb
sub-2,0,4.707113516,power,Newcomb
sub-2,0,6.502088132,power,Peter
sub-2,0,4.626145006,power,Hayworth
sub-2,0,3.280327026,power,Anthony
sub-2,0,3.00786855,power,Anthony
sub-2,0,4.246028949,power,Hayworth
sub-2,0,6.246291604,power,Newcomb
sub-2,0,3.815423957,power,Anthony
sub-20,0,2.543072935,power,Olivia
sub-20,0,1.350981722,power,Peter
sub-20,0,1.362203775,power,Olivia
sub-20,0,2.136183,power,Peter
sub-20,0,1.21444681,power,Peter
sub-20,0,2.526064429,power,Newcomb
sub-20,0,3.283306311,power,Olivia
sub-20,0,5.596536097,power,Peter
sub-20,0,3.798084159,power,Hayworth
sub-20,0,2.896973625,power,Anthony
sub-20,0,7.642130952,power,Anthony
sub-20,0,11.988,power,Anthony
sub-20,0,5.281183906,power,Anthony
